# Time [s], Inlet [kg/m^3]
2.88043e-01,0.00000e+00
2.89855e-01,0.00000e+00
2.91667e-01,0.00000e+00
2.93478e-01,0.00000e+00
2.95290e-01,0.00000e+00
2.97101e-01,0.00000e+00
2.98913e-01,0.00000e+00
3.00725e-01,0.00000e+00
3.02536e-01,0.00000e+00
3.04348e-01,0.00000e+00
3.06159e-01,0.00000e+00
3.07971e-01,0.00000e+00
3.09783e-01,0.00000e+00
3.11594e-01,0.00000e+00
3.13406e-01,0.00000e+00
3.15217e-01,0.00000e+00
3.17029e-01,0.00000e+00
3.18841e-01,0.00000e+00
3.20652e-01,0.00000e+00
3.22464e-01,0.00000e+00
3.24275e-01,0.00000e+00
3.26087e-01,0.00000e+00
3.27899e-01,0.00000e+00
3.29710e-01,0.00000e+00
3.31522e-01,0.00000e+00
3.33333e-01,0.00000e+00
3.35145e-01,0.00000e+00
3.36957e-01,0.00000e+00
3.38768e-01,0.00000e+00
3.40580e-01,0.00000e+00
3.42391e-01,0.00000e+00
3.44203e-01,0.00000e+00
3.46014e-01,0.00000e+00
3.47826e-01,0.00000e+00
3.49638e-01,0.00000e+00
3.51449e-01,0.00000e+00
3.53261e-01,0.00000e+00
3.55072e-01,0.00000e+00
3.56884e-01,0.00000e+00
3.58696e-01,0.00000e+00
3.60507e-01,0.00000e+00
3.62319e-01,0.00000e+00
3.64130e-01,0.00000e+00
3.65942e-01,0.00000e+00
3.67754e-01,0.00000e+00
3.69565e-01,0.00000e+00
3.71377e-01,0.00000e+00
3.73188e-01,0.00000e+00
3.75000e-01,0.00000e+00
3.76812e-01,0.00000e+00
3.78623e-01,0.00000e+00
3.80435e-01,0.00000e+00
3.82246e-01,0.00000e+00
3.84058e-01,0.00000e+00
3.85870e-01,0.00000e+00
3.87681e-01,0.00000e+00
3.89493e-01,0.00000e+00
3.91304e-01,0.00000e+00
3.93116e-01,0.00000e+00
3.94928e-01,0.00000e+00
3.96739e-01,0.00000e+00
3.98551e-01,0.00000e+00
4.00362e-01,0.00000e+00
4.02174e-01,0.00000e+00
4.03986e-01,0.00000e+00
4.05797e-01,0.00000e+00
4.07609e-01,0.00000e+00
4.09420e-01,0.00000e+00
4.11232e-01,0.00000e+00
4.13043e-01,0.00000e+00
4.14855e-01,0.00000e+00
4.16667e-01,0.00000e+00
4.18478e-01,0.00000e+00
4.20290e-01,0.00000e+00
4.22101e-01,0.00000e+00
4.23913e-01,0.00000e+00
4.25725e-01,0.00000e+00
4.27536e-01,0.00000e+00
4.29348e-01,0.00000e+00
4.31159e-01,0.00000e+00
4.32971e-01,0.00000e+00
4.34783e-01,0.00000e+00
4.36594e-01,0.00000e+00
4.38406e-01,0.00000e+00
4.40217e-01,0.00000e+00
4.42029e-01,0.00000e+00
4.43841e-01,0.00000e+00
4.45652e-01,0.00000e+00
4.47464e-01,0.00000e+00
4.49275e-01,0.00000e+00
4.51087e-01,0.00000e+00
4.52899e-01,0.00000e+00
4.54710e-01,0.00000e+00
4.56522e-01,0.00000e+00
4.58333e-01,0.00000e+00
4.60145e-01,0.00000e+00
4.61957e-01,0.00000e+00
4.63768e-01,0.00000e+00
4.65580e-01,0.00000e+00
4.67391e-01,0.00000e+00
4.69203e-01,0.00000e+00
4.71014e-01,0.00000e+00
4.72826e-01,0.00000e+00
4.74638e-01,0.00000e+00
4.76449e-01,0.00000e+00
4.78261e-01,0.00000e+00
